Length	Score	ID	Pvalue	Qvalues
21	3.94980519967	187228	0.178	0.416579588993
21	-3.03797195317	[106543, 105793]	0.726	0.613636363636
22	9.92087486116	82934	0.028	0.280431432974
22	-0.290721157106	82984	0.49	0.584952346041
22	1.71216584851	83045	0.348	0.525924203674
22	10.4462369158	105802	0.024	0.27990430622
22	0.710007747777	105981	0.425	0.57206460965
22	10.0902858748	106044	0.026	0.27990430622
22	2.11818701627	106336	0.316	0.510183805266
22	1.35771192165	106344	0.375	0.543114973262
22	4.05302950624	106381	0.184	0.416579588993
22	0.353139900485	106567	0.449	0.581838118022
22	4.07147493781	114227	0.184	0.416579588993
22	-4.41906557741	119547	0.843	0.637758660777
22	-4.02745306617	160134	0.822	0.633281972265
22	7.55236949817	160951	0.056	0.315151515152
22	6.2488012912	161005	0.093	0.35002895194
22	-7.16149452315	161047	0.97	0.668732782369
22	0.922669184618	169344	0.411	0.562316715543
22	-5.76166701193	187101	0.924	0.663426488457
22	7.74478454934	187170	0.051	0.304407713499
22	3.65229853295	187195	0.218	0.447285353535
22	-7.16149452315	[161047, 119541]	0.97	0.668732782369
23	-0.0420249657652	82928	0.47	0.582345191041
23	4.03738645555	83041	0.183	0.416579588993
23	-3.22514633101	106417	0.732	0.613636363636
23	5.19036486641	106438	0.142	0.381404958678
23	3.84745672203	119522	0.186	0.419500346981
23	2.16729094592	142242	0.28	0.492140424417
23	0.737529327086	147586	0.401	0.554928677879
23	-3.5051699002	161025	0.756	0.613636363636
23	7.49891692321	161066	0.077	0.335840418574
23	4.22725861079	187197	0.179	0.416579588993
24	-1.5816326353	82929	0.583	0.607496012759
24	9.76733341947	82993	0.031	0.282225237449
24	7.22877133893	83096	0.083	0.335927770859
24	6.92466802164	105658	0.095	0.350852272727
24	5.15722573707	105895	0.149	0.393060064935
24	-2.17031996612	106019	0.632	0.613636363636
24	-2.96374756883	106145	0.703	0.613636363636
24	-0.363839166774	106281	0.47	0.582345191041
24	-6.35730947562	106335	0.913	0.661151960784
24	-7.08324135523	106342	0.94	0.668138216699
24	-3.11476956931	106558	0.715	0.613636363636
24	-9.3653562346	161060	0.992	0.673772204807
24	-3.11476956931	[106558, 106000]	0.715	0.613636363636
25	-5.47909124993	83002	0.869	0.645100502513
25	5.87552951039	83007	0.121	0.371840354767
25	-1.75948970638	83095	0.61	0.613636363636
25	3.25237725629	105911	0.225	0.449170761671
25	-5.61013040715	106009	0.878	0.647571606476
25	-3.08988093543	106065	0.718	0.613636363636
25	-7.93397391416	106244	0.965	0.668496216562
25	1.14364382964	106501	0.364	0.533865886589
25	2.53950156526	106564	0.265	0.478871281624
25	12.3226954265	119533	0.018	0.247357293869
25	-7.64982663035	142269	0.96	0.668496216562
25	13.7786624259	161036	0.005	0.134297520661
25	-6.45719542307	161062	0.915	0.661789251141
25	2.28153333299	187095	0.285	0.492140424417
25	-3.35798333883	187105	0.737	0.613636363636
25	6.50363933047	187192	0.103	0.354545454545
26	-4.90239280471	82958	0.828	0.634594977007
26	-3.83332899912	82995	0.77	0.619009387352
26	-8.44243288907	83046	0.965	0.668496216562
26	-1.22289680718	105927	0.566	0.602536997886
26	-4.38830442179	106156	0.801	0.62857660268
26	16.8697835643	106430	0.006	0.141818181818
26	3.32079021567	106461	0.251	0.476715002789
26	-1.96602412439	106541	0.629	0.613636363636
26	-9.66401050262	119540	0.988	0.672601591956
26	-1.49892254658	160138	0.585	0.607496012759
26	-3.35982187043	187090	0.735	0.613636363636
26	-7.40647754876	[106244, 106243]	0.938	0.667798466594
26	0.190665565631	[106558, 106000, 105945]	0.462	0.582345191041
26	2.13085084891	[106564, 106563]	0.308	0.502762430939
26	7.40299036403	[119522, 119520]	0.101	0.354545454545
27	4.83971094885	83014	0.163	0.404698242934
27	9.67937024012	83112	0.039	0.299102132435
27	-6.35892360223	105727	0.922	0.663426488457
27	-0.981572654076	105777	0.53	0.598684210526
27	-0.149997594091	105892	0.471	0.582345191041
27	-2.61312315013	105903	0.676	0.613636363636
27	-5.55294528844	105907	0.883	0.648971053822
27	2.28270905527	106054	0.304	0.500379842998
27	-2.45887703273	106334	0.657	0.613636363636
27	23.3017648019	106537	0.0	0.0
27	4.73371583523	106565	0.17	0.413393191171
27	0.100959943117	160960	0.457	0.582345191041
27	16.695460417	160998	0.001	0.0738636363636
27	-7.10226442243	161061	0.948	0.668496216562
27	1.73773904151	169354	0.335	0.518772136954
27	-3.62443570603	187183	0.736	0.613636363636
27	-0.149997594091	[105892, 105891]	0.471	0.582345191041
27	17.6031939683	[106430, 106428]	0.001	0.0738636363636
27	23.3017648019	[106537, 106536]	0.0	0.0
27	16.695460417	[160998, 160997]	0.001	0.0738636363636
28	2.55218707769	82927	0.3	0.497957099081
28	-2.27062954073	82966	0.623	0.613636363636
28	8.90962907379	82977	0.069	0.323153409091
28	8.05819719978	82992	0.079	0.335840418574
28	-0.835718857077	106002	0.515	0.592052048532
28	-2.98101355783	106036	0.681	0.613636363636
28	8.29086346355	106073	0.078	0.335840418574
28	6.62517320377	106082	0.119	0.371840354767
28	0.916415959096	106150	0.395	0.550493138937
28	6.52743681402	106170	0.128	0.371840354767
28	7.64503084274	106203	0.09	0.347593582888
28	0.658710457457	106247	0.416	0.565099268548
28	12.1174006431	106497	0.027	0.27990430622
